,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2026-04-16 19:00:13,2026-04-16 14:05:05,8919,728.0,2939,158,10128,2336,6479,83407,2026-04-15 21:47:07,0.11.7,95917747.0,7993145.0,100.0,"An extremely fast Python package and project manager, written in Rust.",16170.0,16170.0,535.0,45,True,1
1,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2026-04-16 18:47:31,2026-04-16 18:38:52,14950,1313.0,1998,102,16015,1654,6284,47115,2026-04-16 18:47:31,0.15.11,4538085.0,206276.0,100.0,"An extremely fast Python linter and code formatter, written in Rust.",176197.0,176197.0,852.0,44,True,1
2,cython,cython/cython,['written-in-cpp'],compilers,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-04-14 17:21:11,2026-04-14 17:21:10,20180,246.0,1581,231,3438,1333,2828,10695,2026-01-04 13:13:45,3.2.4,457601.0,8800.0,57.0,The most widely used Python to C compiler.,214831.0,214831.0,584.0,43,True,1
3,maturin,PyO3/maturin,['written-in-rust'],build-tools,https://github.com/PyO3/maturin,https://github.com/PyO3/maturin,Apache-2.0,2018-07-21 21:27:46,2026-04-14 12:53:21,2026-04-14 12:53:20,3972,149.0,387,31,2057,39,805,5551,2026-04-09 15:13:48,1.13.1,6355278.0,147797.0,100.0,"Build and publish crates with pyo3, cffi and uniffi bindings as well as rust binaries as python packages.",5637.0,5637.0,208.0,36,True,1
4,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2026-04-15 15:49:20,2026-04-15 15:32:31,452,95.0,282,54,505,773,2005,18335,2026-04-15 15:49:21,0.0.31,269951.0,24541.0,72.0,"An extremely fast Python type checker and language server, written in Rust.",4797.0,4797.0,41.0,35,True,1
5,RustPython,RustPython/RustPython,['written-in-rust'],interpreters,https://github.com/RustPython/RustPython,https://github.com/RustPython/RustPython,MIT,2018-05-28 19:27:01,2026-04-15 23:52:37,2026-04-15 23:52:37,16389,1092.0,1395,172,6216,290,1042,22011,,,594.0,45.0,1.0,A Python Interpreter written in Rust.,893.0,893.0,490.0,34,True,1
6,pixi,prefix-dev/pixi,['written-in-rust'],package-managers,https://github.com/prefix-dev/pixi,https://github.com/prefix-dev/pixi,BSD-3-Clause,2023-04-28 10:51:16,2026-04-16 14:34:11,2026-04-16 12:11:36,3018,227.0,491,27,3179,609,1761,6847,2026-04-08 14:49:40,0.67.0,5285807.0,195770.0,100.0,"Powerful system-level package manager for Linux, macOS and Windows written in Rust building on top of the Conda..",5.0,5.0,254.0,33,True,2
7,memray,bloomberg/memray,['written-in-cpp'],profilers,https://github.com/bloomberg/memray,https://github.com/bloomberg/memray,Apache-2.0,2022-04-08 18:04:11,2026-04-08 19:45:21,2026-04-08 19:45:21,1449,38.0,436,60,537,43,220,14986,2026-04-08 17:49:48,1.19.3,,,34.0,Memray is a memory profiler for Python.,2055.0,2055.0,64.0,29,True,1
8,pyrefly,facebook/pyrefly,['written-in-rust'],type-checkers,https://github.com/facebook/pyrefly,https://github.com/facebook/pyrefly,MIT,2025-02-19 21:09:33,2026-04-16 18:45:14,2026-04-16 18:42:44,12596,2319.0,310,20,1086,431,1610,5603,2026-04-13 20:07:27,0.61.0,551.0,55.0,45.0,A fast type checker and language server for Python.,,,218.0,29,True,2
9,robyn,sparckles/Robyn,['written-in-rust'],web-servers,https://github.com/sparckles/Robyn,https://github.com/sparckles/Robyn,BSD-2-Clause,2021-06-18 09:32:00,2026-04-13 18:07:11,2026-04-12 22:31:25,795,52.0,327,51,766,125,465,7208,2026-04-13 22:30:36,0.83.0,,,100.0,Robyn is a Super Fast Async Python Web Framework with a Rust runtime.,246.0,246.0,86.0,27,True,1
10,granian,emmett-framework/granian,['written-in-rust'],web-servers,https://github.com/emmett-framework/granian,https://github.com/emmett-framework/granian,BSD-3-Clause,2022-04-15 16:41:30,2026-04-07 13:36:47,2026-04-07 13:36:43,791,32.0,149,39,389,31,307,5277,2026-04-07 11:05:48,2.7.3,,,100.0,A Rust HTTP server for Python applications.,1144.0,1144.0,45.0,27,True,1
11,codon,exaloop/codon,['written-in-cpp'],compilers,https://github.com/exaloop/codon,https://github.com/exaloop/codon,Apache-2.0,2021-09-27 17:56:34,2026-04-11 17:29:27,2026-04-11 17:29:27,949,25.0,598,137,176,91,430,16718,2026-03-04 00:09:30,0.19.6,55283.0,1382.0,20.0,"A high-performance, zero-overhead, extensible Python compiler with built-in NumPy support.",,,21.0,26,True,3
12,rye,astral-sh/rye,['written-in-rust'],package-managers,https://github.com/astral-sh/rye,https://github.com/astral-sh/rye,MIT,2023-04-22 22:23:54,2026-02-05 00:39:05,2025-08-18 16:52:35,838,,462,59,588,310,372,14248,2025-02-26 23:56:38,0.44.0,5059330.0,144552.0,48.0,a Hassle-Free Python Experience.,1.0,1.0,111.0,26,True,3
13,mamba,mamba-org/mamba,['written-in-cpp'],package-managers,https://github.com/mamba-org/mamba,https://github.com/mamba-org/mamba,BSD-3-Clause,2019-03-05 13:05:10,2026-04-16 18:10:53,2026-04-16 18:10:53,3303,58.0,436,45,2204,405,1617,7994,2026-01-08 20:30:21,2.5.0,,,86.0,The Fast Cross-Platform Package Manager.,,,181.0,26,True,3
14,uWSGI,unbit/uwsgi,['written-in-cpp'],web-servers,https://github.com/unbit/uwsgi,https://github.com/unbit/uwsgi,,2011-10-09 07:25:31,2025-10-11 19:16:25,2025-10-11 19:11:09,6933,,681,109,965,781,1007,3547,,,,,,uWSGI application server container.,60831.0,60831.0,375.0,24,False,3
15,gpython,go-python/gpython,['written-in-go'],interpreters,https://github.com/go-python/gpython,https://github.com/go-python/gpython,BSD-3-Clause,2018-08-01 20:08:19,2026-03-02 13:02:41,2026-03-02 13:02:41,590,4.0,105,22,147,48,59,1001,2023-06-28 08:00:04,0.2.0,1014.0,11.0,6.0,gpython is a python interpreter written in go batteries not included.,235.0,235.0,24.0,21,True,2
16,pyston,pyston/pyston,['written-in-cpp'],interpreters,https://github.com/pyston/pyston,https://github.com/pyston/pyston,,2021-03-01 22:38:24,2024-08-12 16:30:59,2024-08-12 16:30:56,107480,,94,35,215,37,59,2510,2022-09-26 19:13:22,pyston_2.3.5,37156.0,629.0,7.0,(No longer maintained) A faster and highly-compatible implementation of the Python programming language.,,,1036.0,20,False,3
17,zuban,zubanls/zuban,['written-in-rust'],type-checkers,https://github.com/zubanls/zuban,https://github.com/zubanls/zuban,,2024-10-14 15:53:54,2026-04-16 14:07:55,2026-04-16 14:02:16,12935,467.0,30,5,25,58,303,987,2026-04-06 00:09:59,0.7.0,,,1.0,Python Type Checker / Language Server.,,,9.0,19,False,3
18,pylyzer,mtshiba/pylyzer,['written-in-rust'],type-checkers,https://github.com/mtshiba/pylyzer,https://github.com/mtshiba/pylyzer,MIT,2022-12-12 13:15:29,2025-05-10 02:10:33,2025-05-10 02:10:28,384,,42,14,11,13,106,2869,2025-02-25 08:42:22,0.0.82,38728.0,968.0,82.0,"A fast, feature-rich static code analyzer & language server for Python.",1.0,1.0,7.0,17,True,3
19,PyCrucible,razorblade23/PyCrucible,['written-in-rust'],build-tools,https://github.com/razorblade23/PyCrucible,https://github.com/razorblade23/PyCrucible,,2025-03-19 11:52:02,2026-04-13 18:04:06,2026-04-13 18:04:06,283,20.0,6,7,24,7,28,193,2026-03-22 08:09:57,0.4.6-fix1,317.0,24.0,48.0,"A robust, cross-platform builder and launcher for Python apps using UV. Built with Rust.",2.0,2.0,4.0,15,False,3
20,osmium,Rexicon226/osmium,['written-in-zig'],interpreters,https://github.com/Rexicon226/osmium,https://github.com/Rexicon226/osmium,GPL-3.0,2023-12-20 18:26:16,2024-12-31 04:50:47,2024-12-31 04:49:54,142,,5,1,17,1,1,61,,,,,,A Python Interpreter written in Zig.,,,,5,False,3
