,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2026-04-30 18:58:01,2026-04-30 15:57:38,9027,710.0,3003,161,10275,2331,6537,84195,2026-04-27 13:18:17,0.11.8,109293092.0,9107757.0,100.0,"An extremely fast Python package and project manager, written in Rust.",16502.0,16502.0,538.0,45,True,1,
1,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2026-04-30 19:08:40,2026-04-30 19:08:38,15117,1245.0,2021,101,16245,1664,6307,47311,2026-04-24 18:18:25,0.15.12,5095013.0,231591.0,100.0,"An extremely fast Python linter and code formatter, written in Rust.",181634.0,181634.0,862.0,44,True,1,
2,cython,cython/cython,['written-in-cpp'],compilers,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-04-29 22:23:56,2026-04-29 22:23:55,20204,225.0,1583,231,3455,1336,2829,10714,2026-01-04 13:13:45,3.2.4,473413.0,9104.0,57.0,The most widely used Python to C compiler.,215105.0,215105.0,585.0,43,True,1,
3,maturin,PyO3/maturin,['written-in-rust'],build-tools,https://github.com/PyO3/maturin,https://github.com/PyO3/maturin,Apache-2.0,2018-07-21 21:27:46,2026-04-28 14:14:15,2026-04-28 14:14:12,3991,164.0,392,31,2077,34,815,5573,2026-04-09 15:13:48,1.13.1,6613708.0,153807.0,100.0,"Build and publish crates with pyo3, cffi and uniffi bindings as well as rust binaries as python packages.",5749.0,5749.0,210.0,36,True,1,
4,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2026-04-30 08:09:36,2026-04-28 18:07:45,470,105.0,282,52,525,778,2073,18472,2026-04-28 10:47:16,0.0.33,238830.0,21711.0,74.0,"An extremely fast Python type checker and language server, written in Rust.",5286.0,5286.0,41.0,35,True,1,
5,RustPython,RustPython/RustPython,['written-in-rust'],interpreters,https://github.com/RustPython/RustPython,https://github.com/RustPython/RustPython,MIT,2018-05-28 19:27:01,2026-04-30 15:30:17,2026-04-30 14:30:27,16497,947.0,1404,172,6335,282,1057,22031,,,718.0,55.0,1.0,A Python Interpreter written in Rust.,895.0,895.0,495.0,34,True,1,
6,pixi,prefix-dev/pixi,['written-in-rust'],package-managers,https://github.com/prefix-dev/pixi,https://github.com/prefix-dev/pixi,BSD-3-Clause,2023-04-28 10:51:16,2026-04-30 13:34:22,2026-04-30 11:47:56,3047,231.0,496,27,3221,611,1783,6944,2026-04-23 10:04:55,0.67.2,5505338.0,211743.0,100.0,"Powerful system-level package manager for Linux, macOS and Windows written in Rust building on top of the Conda..",5.0,5.0,259.0,33,True,2,
7,memray,bloomberg/memray,['written-in-cpp'],profilers,https://github.com/bloomberg/memray,https://github.com/bloomberg/memray,Apache-2.0,2022-04-08 18:04:11,2026-04-28 23:22:41,2026-04-28 23:22:40,1453,34.0,437,60,543,40,223,15005,2026-04-08 17:49:48,1.19.3,,,34.0,Memray is a memory profiler for Python.,2087.0,2087.0,65.0,29,True,1,
8,pyrefly,facebook/pyrefly,['written-in-rust'],type-checkers,https://github.com/facebook/pyrefly,https://github.com/facebook/pyrefly,MIT,2025-02-19 21:09:33,2026-04-30 19:03:30,2026-04-30 19:00:04,12890,2280.0,315,20,1131,409,1694,5647,2026-04-29 06:00:44,0.63.1,592.0,59.0,49.0,A fast type checker and language server for Python.,,,227.0,29,True,2,
9,robyn,sparckles/Robyn,['written-in-rust'],web-servers,https://github.com/sparckles/Robyn,https://github.com/sparckles/Robyn,BSD-2-Clause,2021-06-18 09:32:00,2026-04-27 18:19:35,2026-04-26 14:46:22,800,45.0,327,51,769,123,467,7226,2026-04-29 22:20:32,0.85.0,,,100.0,Robyn is a Super Fast Async Python Web Framework with a Rust runtime.,248.0,248.0,86.0,27,True,1,
10,granian,emmett-framework/granian,['written-in-rust'],web-servers,https://github.com/emmett-framework/granian,https://github.com/emmett-framework/granian,BSD-3-Clause,2022-04-15 16:41:30,2026-04-23 11:08:37,2026-04-23 10:39:24,795,30.0,149,39,389,31,309,5312,2026-04-23 12:28:01,2.7.4,,,100.0,A Rust HTTP server for Python applications.,1166.0,1166.0,45.0,27,True,1,
11,codon,exaloop/codon,['written-in-cpp'],compilers,https://github.com/exaloop/codon,https://github.com/exaloop/codon,Apache-2.0,2021-09-27 17:56:34,2026-04-30 19:11:59,2026-04-30 16:37:39,952,22.0,600,137,180,91,431,16745,2026-03-04 00:09:30,0.19.6,55804.0,1395.0,20.0,"A high-performance, zero-overhead, extensible Python compiler with built-in NumPy support.",,,21.0,26,True,3,
12,rye,astral-sh/rye,['written-in-rust'],package-managers,https://github.com/astral-sh/rye,https://github.com/astral-sh/rye,MIT,2023-04-22 22:23:54,2026-02-05 00:39:05,2025-08-18 16:52:35,838,,464,59,588,310,372,14238,2025-02-26 23:56:38,0.44.0,5105647.0,145875.0,48.0,a Hassle-Free Python Experience.,1.0,1.0,111.0,26,True,3,
13,mamba,mamba-org/mamba,['written-in-cpp'],package-managers,https://github.com/mamba-org/mamba,https://github.com/mamba-org/mamba,BSD-3-Clause,2019-03-05 13:05:10,2026-04-30 13:25:02,2026-04-30 13:25:02,3321,70.0,435,45,2213,406,1623,8000,2026-04-29 14:04:33,2.6.0,,,92.0,The Fast Cross-Platform Package Manager.,,,181.0,26,True,3,
14,uWSGI,unbit/uwsgi,['written-in-cpp'],web-servers,https://github.com/unbit/uwsgi,https://github.com/unbit/uwsgi,,2011-10-09 07:25:31,2025-10-11 19:16:25,2025-10-11 19:11:09,6933,,680,108,965,785,1008,3546,,,,,,uWSGI application server container.,60868.0,60868.0,375.0,24,False,3,
15,gpython,go-python/gpython,['written-in-go'],interpreters,https://github.com/go-python/gpython,https://github.com/go-python/gpython,BSD-3-Clause,2018-08-01 20:08:19,2026-03-02 13:02:41,2026-03-02 13:02:41,590,4.0,105,22,147,48,59,1001,2023-06-28 08:00:04,0.2.0,1020.0,11.0,6.0,gpython is a python interpreter written in go batteries not included.,236.0,236.0,24.0,21,True,2,
16,pyston,pyston/pyston,['written-in-cpp'],interpreters,https://github.com/pyston/pyston,https://github.com/pyston/pyston,,2021-03-01 22:38:24,2024-08-12 16:30:59,2024-08-12 16:30:56,107480,,95,35,215,37,59,2509,2022-09-26 19:13:22,pyston_2.3.5,37271.0,631.0,7.0,(No longer maintained) A faster and highly-compatible implementation of the Python programming language.,,,1036.0,20,False,3,
17,zuban,zubanls/zuban,['written-in-rust'],type-checkers,https://github.com/zubanls/zuban,https://github.com/zubanls/zuban,,2024-10-14 15:53:54,2026-04-29 07:00:12,2026-04-29 06:59:59,12980,436.0,34,5,27,63,323,1015,2026-04-25 10:59:58,0.7.1,,,2.0,Python Type Checker / Language Server.,,,9.0,20,False,3,1.0
18,pylyzer,mtshiba/pylyzer,['written-in-rust'],type-checkers,https://github.com/mtshiba/pylyzer,https://github.com/mtshiba/pylyzer,MIT,2022-12-12 13:15:29,2025-05-10 02:10:33,2025-05-10 02:10:28,384,,42,14,11,13,106,2869,2025-02-25 08:42:22,0.0.82,38934.0,973.0,82.0,"A fast, feature-rich static code analyzer & language server for Python.",1.0,1.0,7.0,17,True,3,
19,PyCrucible,razorblade23/PyCrucible,['written-in-rust'],build-tools,https://github.com/razorblade23/PyCrucible,https://github.com/razorblade23/PyCrucible,,2025-03-19 11:52:02,2026-04-13 18:04:06,2026-04-13 18:04:06,283,20.0,5,7,24,7,28,197,2026-03-22 08:09:57,0.4.6-fix1,330.0,25.0,48.0,"A robust, cross-platform builder and launcher for Python apps using UV. Built with Rust.",2.0,2.0,4.0,15,False,3,
20,osmium,Rexicon226/osmium,['written-in-zig'],interpreters,https://github.com/Rexicon226/osmium,https://github.com/Rexicon226/osmium,GPL-3.0,2023-12-20 18:26:16,2024-12-31 04:50:47,2024-12-31 04:49:54,142,,5,1,17,1,1,64,,,,,,A Python Interpreter written in Zig.,,,,5,False,3,
