,name,github_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,description,projectrank,show,projectrank_placing,trending
0,ruff,astral-sh/ruff,['written-in-rust'],linters,{},221173.0,221173.0,940.0,,10,False,1.0,
1,cython,cython/cython,['written-in-cpp'],compilers,{},217055.0,217055.0,598.0,,10,False,1.0,
2,uv,astral-sh/uv,['written-in-rust'],package-managers,{},18706.0,18706.0,581.0,,9,False,1.0,
3,uWSGI,unbit/uwsgi,['written-in-cpp'],web-servers,{},61065.0,61065.0,375.0,,9,False,1.0,
4,ty,astral-sh/ty,['written-in-rust'],type-checkers,{},8939.0,8939.0,51.0,,7,False,1.0,
5,RustPython,RustPython/RustPython,['written-in-rust'],interpreters,{},896.0,896.0,519.0,,7,False,1.0,
6,granian,emmett-framework/granian,['written-in-rust'],web-servers,{},1432.0,1432.0,49.0,,6,False,3.0,
7,robyn,sparckles/Robyn,['written-in-rust'],web-servers,{},260.0,260.0,90.0,,5,False,3.0,
8,gpython,go-python/gpython,['written-in-go'],interpreters,{},252.0,252.0,24.0,,5,False,3.0,
9,pixi,prefix-dev/pixi,['written-in-rust'],package-managers,{},5.0,5.0,282.0,,3,False,2.0,
10,memray,bloomberg/memray,['written-in-cpp'],profilers,{},24.0,24.0,72.0,,3,False,1.0,
11,mamba,mamba-org/mamba,['written-in-cpp'],package-managers,{},,,186.0,,2,False,3.0,
12,pyrefly,facebook/pyrefly,['written-in-rust'],type-checkers,{},,,307.0,,2,False,3.0,
13,maturin,PyO3/maturin,['written-in-rust'],build-tools,{},,,221.0,,2,False,1.0,-6.0
14,pyston,pyston/pyston,['written-in-cpp'],interpreters,{},,,1039.0,,2,False,3.0,
15,rye,astral-sh/rye,['written-in-rust'],package-managers,{},,,111.0,,1,False,3.0,
16,pyflow,David-OConnor/pyflow,['written-in-rust'],package-managers,{},,,30.0,,1,False,3.0,-3.0
17,PyCrucible,razorblade23/PyCrucible,['written-in-rust'],build-tools,{},3.0,3.0,4.0,,1,False,3.0,
18,codon,exaloop/codon,['written-in-cpp'],compilers,{},,,21.0,,1,False,3.0,
19,zuban,zubanls/zuban,['written-in-rust'],type-checkers,{},,,13.0,,0,False,,
20,pylyzer,mtshiba/pylyzer,['written-in-rust'],type-checkers,{},1.0,1.0,7.0,,0,False,,
21,osmium,Rexicon226/osmium,['written-in-zig'],interpreters,{},,,,,0,False,,
