,name,github_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,description,projectrank,show,projectrank_placing
0,ruff,astral-sh/ruff,['written-in-rust'],linters,{},233027.0,233027.0,964.0,,10,False,1.0
1,cython,cython/cython,['written-in-cpp'],compilers,{},217526.0,217526.0,600.0,,10,False,1.0
2,uv,astral-sh/uv,['written-in-rust'],package-managers,{},19333.0,19333.0,589.0,,9,False,1.0
3,uWSGI,unbit/uwsgi,['written-in-cpp'],web-servers,{},61119.0,61119.0,375.0,,9,False,1.0
4,maturin,PyO3/maturin,['written-in-rust'],build-tools,{},6826.0,6826.0,223.0,,8,False,1.0
5,ty,astral-sh/ty,['written-in-rust'],type-checkers,{},10058.0,10058.0,55.0,,7,False,1.0
6,RustPython,RustPython/RustPython,['written-in-rust'],interpreters,{},896.0,896.0,530.0,,7,False,1.0
7,granian,emmett-framework/granian,['written-in-rust'],web-servers,{},1527.0,1527.0,49.0,,6,False,3.0
8,robyn,sparckles/Robyn,['written-in-rust'],web-servers,{},262.0,262.0,91.0,,5,False,3.0
9,gpython,go-python/gpython,['written-in-go'],interpreters,{},256.0,256.0,24.0,,5,False,3.0
10,pyflow,David-OConnor/pyflow,['written-in-rust'],package-managers,{},44.0,44.0,30.0,,4,False,2.0
11,pixi,prefix-dev/pixi,['written-in-rust'],package-managers,{},5.0,5.0,288.0,,3,False,3.0
12,memray,bloomberg/memray,['written-in-cpp'],profilers,{},24.0,24.0,74.0,,3,False,1.0
13,mamba,mamba-org/mamba,['written-in-cpp'],package-managers,{},,,186.0,,2,False,3.0
14,pyrefly,facebook/pyrefly,['written-in-rust'],type-checkers,{},,,330.0,,2,False,3.0
15,pyston,pyston/pyston,['written-in-cpp'],interpreters,{},,,1039.0,,2,False,3.0
16,rye,astral-sh/rye,['written-in-rust'],package-managers,{},,,111.0,,1,False,3.0
17,PyCrucible,razorblade23/PyCrucible,['written-in-rust'],build-tools,{},3.0,3.0,5.0,,1,False,3.0
18,codon,exaloop/codon,['written-in-cpp'],compilers,{},,,22.0,,1,False,3.0
19,zuban,zubanls/zuban,['written-in-rust'],type-checkers,{},,,13.0,,0,False,
20,pylyzer,mtshiba/pylyzer,['written-in-rust'],type-checkers,{},1.0,1.0,7.0,,0,False,
21,osmium,Rexicon226/osmium,['written-in-zig'],interpreters,{},,,,,0,False,
